Tiempo,Flujo
2454953.640950037,401384.44
2454953.641631259,401209.25
2454953.642312381,401409.3
2454953.642993503,401358.72
2454953.6436747247,401243.47
2454953.6443557465,401459.66
2454953.6450368688,401421.84
2454953.6457180902,401414.0
2454953.646399212,401430.8
2454953.6470803344,401319.1
2454953.647761456,401166.84
2454953.648442678,401378.28
2454953.6491238,401412.56
2454953.6498048217,401263.78
2454953.6504860437,401249.47
2454953.6511671655,401375.75
2454953.6518482873,401098.34
2454953.6525295093,401651.9
2454953.653210631,401299.62
2454953.653891853,401233.03
2454953.654572975,401326.97
2454953.655253997,401368.22
2454953.655935119,401360.16
2454953.656616341,401433.72
2454953.6572974627,401378.84
2454953.6579786846,401290.88
2454953.6586598065,401230.78
2454953.6593409283,401251.97
2454953.6600221503,401340.12
2454953.660703172,401333.62
2454953.661384294,401187.66
2454953.6620654156,401317.12
2454953.6627466376,401381.34
2454953.66342776,401384.03
2454953.6641088817,401363.1
2454953.664790103,401225.88
2454953.6654712255,401138.25
2454953.666152247,401378.94
2454953.666833469,401752.22
2454953.667514591,401388.97
2454953.668195713,401541.6
2454953.668876935,401294.03
2454953.6695580566,401303.44
2454953.6702391785,401335.94
2454953.6709204004,401266.44
2454953.671601422,401226.94
2454953.6722825444,401388.62
2454953.672963766,401389.44
2454953.673644888,401388.4
2454953.67432601,401148.88
2454953.675007132,401405.28
2454953.675688354,401438.34
2454953.6763694757,401463.97
2454953.6770505975,401490.66
2454953.6777317193,401353.22
2454953.678412841,401297.72
2454953.679093963,401609.75
2454953.679775185,401373.8
2454953.680456307,401338.44
2454953.681137429,401447.06
2454953.6818186506,401275.53
2454953.682499773,401237.47
2454953.6831807946,401258.84
2454953.6838620165,401345.44
2454953.6845431384,401362.38
2454953.68522426,401285.5
2454953.685905482,401253.62
2454953.686586604,401240.06
2454953.687267826,401281.16
2454953.687948948,401180.47
2454953.6886299695,401203.22
2454953.689311092,401244.6
2454953.6899923137,401377.88
2454953.6906734356,401316.72
2454953.6913546575,401233.8
2454953.6920357794,401226.97
2454953.692716901,401328.78
2454953.693398023,401280.6
2454953.694079145,401251.28
2454953.6947602667,401343.25
2454953.6954413885,401416.03
2454953.6961226105,401376.25
2454953.6968037323,401351.34
2454953.697484854,401316.3
2454953.698166076,401302.03
2454953.698847198,401265.53
2454953.69952822,401285.53
2454953.700209342,401368.2
2454953.700890564,401336.06
2454953.7015716857,401386.16
2454953.7022528076,401217.4
2454953.7029340295,401404.7
2454953.7036151513,401267.03
2454953.704296273,401260.9
2454953.704977395,401310.75
2454953.705658517,401452.3
2454953.7063396387,401363.12
2454953.7070208606,401261.47
2454953.707701983,401288.4
2454953.7083831048,401237.12
2454953.7090643267,401335.7
2454953.7097454485,401507.56
2454953.7104264703,401284.75
2454953.711107592,401433.38
2454953.711788814,401471.47
2454953.712469936,401467.22
2454953.7131510577,401271.5
2454953.7138322797,401196.78
2454953.7145134015,401464.28
2454953.7151946235,401206.47
2454953.7158756456,401316.88
2454953.7165567675,401398.12
2454953.7172378893,401163.38
2454953.7179191113,401306.5
2454953.718600233,401181.22
2454953.719281455,401251.16
2454953.719962577,401326.7
2454953.7206436987,401455.4
2454953.7213247204,401435.28
2454953.7220059424,401275.84
2454953.722687064,401407.5
2454953.723368286,401326.3
2454953.724049408,401189.25
2454953.72473053,401426.1
2454953.725411752,401208.84
2454953.7260928736,401253.53
2454953.726773896,401371.9
2454953.7274551177,401266.62
2454953.7281362396,401387.94
2454953.7288173614,401310.03
2454953.7294984832,401195.8
2454953.730179705,401400.4
2454953.730860827,401253.22
2454953.731541949,401243.88
2454953.7322230707,401175.2
2454953.7329041925,401305.12
2454953.7335853144,401100.66
2454953.7342665363,401374.2
2454953.734947658,401438.0
2454953.7356287804,401356.28
2454953.7363099023,401482.66
2454953.736991124,401264.0
2454953.737672146,401357.5
2454953.738353268,401310.44
2454953.7390344897,401438.53
2454953.7397156116,401221.38
2454953.7403967334,401136.88
2454953.7410779553,401188.88
2454953.741759077,401162.28
2454953.742440299,401335.6
2454953.743121321,401248.56
2454953.743802443,401315.0
2454953.744483565,401211.03
2454953.745164787,401312.06
2454953.7458459088,401289.97
2454953.7465271307,401236.0
2454953.7472082525,401454.5
2454953.7478893744,401461.38
2454953.7485705963,401439.72
2454953.749251618,401413.84
2454953.74993274,401281.25
2454953.7506138617,401271.03
2454953.7512950837,401168.12
2454953.7519762055,401240.7
